中国 86
中国 852
中国 853
中国 886
北京	86-110000
眉山	86-510000-511400
宜宾	86-510000-511500
广安	86-510000-511600
达州	86-510000-511700
雅安	86-510000-511800
巴中	86-510000-511900
资阳	86-510000-512000
阿坝藏族羌族自治州	86-510000-513200
甘孜藏族自治州	86-510000-513300
凉山彝族自治州	86-510000-513400
贵州	86-520000
贵阳	86-520000-520100
六盘水	86-520000-520200
遵义	86-520000-520300
安顺	86-520000-520400
毕节	86-520000-520500
铜仁	86-520000-520600
黔西南布依族苗族自治州	86-520000-522300
黔东南苗族侗族自治州	86-520000-522600
黔南布依族苗族自治州	86-520000-522700
云南	86-530000
昆明	86-530000-530100
曲靖	86-530000-530300
玉溪	86-530000-530400
保山	86-530000-530500
昭通	86-530000-530600
丽江	86-530000-530700
普洱	86-530000-530800
临沧	86-530000-530900
楚雄彝族自治州	86-530000-532300
红河哈尼族彝族自治州	86-530000-532500
文山壮族苗族自治州	86-530000-532600
西双版纳傣族自治州	86-530000-532800
大理白族自治州	86-530000-532900
德宏傣族景颇族自治州	86-530000-533100
怒江傈僳族自治州	86-530000-533300
迪庆藏族自治州	86-530000-533400
西藏	86-540000
拉萨	86-540000-540100
日喀则	86-540000-540200
昌都	86-540000-540300
林芝	86-540000-540400
山南	86-540000-542200
那曲地区	86-540000-542400
阿里地区	86-540000-542500
陕西	86-610000
西安	86-610000-610100
铜川	86-610000-610200
宝鸡	86-610000-610300
咸阳	86-610000-610400
渭南	86-610000-610500
延安	86-610000-610600
汉中	86-610000-610700
榆林	86-610000-610800
安康	86-610000-610900
商洛	86-610000-611000
甘肃	86-620000
兰州	86-620000-620100
嘉峪关	86-620000-620200
金昌	86-620000-620300
白银	86-620000-620400
天水	86-620000-620500
武威	86-620000-620600
张掖	86-620000-620700
平凉	86-620000-620800
酒泉	86-620000-620900
庆阳	86-620000-621000
定西	86-620000-621100
陇南	86-620000-621200
临夏回族自治州	86-620000-622900
甘南藏族自治州	86-620000-623000
青海	86-630000
西宁	86-630000-630100
海东	86-630000-630200
海北藏族自治州	86-630000-632200
黄南藏族自治州	86-630000-632300
海南藏族自治州	86-630000-632500
果洛藏族自治州	86-630000-632600
玉树藏族自治州	86-630000-632700
海西蒙古族藏族自治州	86-630000-632800
宁夏	86-640000
银川	86-640000-640100
石嘴山	86-640000-640200
吴忠	86-640000-640300
固原	86-640000-640400
中卫	86-640000-640500
新疆	86-650000
乌鲁木齐	86-650000-650100
克拉玛依	86-650000-650200
吐鲁番	86-650000-650400
哈密	86-650000-652200
昌吉回族自治州	86-650000-652300
博尔塔拉蒙古自治州	86-650000-652700
巴音郭楞蒙古自治州	86-650000-652800
阿克苏地区	86-650000-652900
克孜勒苏柯尔克孜自治州	86-650000-653000
喀什地区	86-650000-653100
和田地区	86-650000-653200
伊犁哈萨克自治州	86-650000-654000
塔城地区	86-650000-654200
阿勒泰地区	86-650000-654300
石河子	86-650000-659001
阿拉尔	86-650000-659002
图木舒克	86-650000-659003
五家渠	86-650000-659004
北屯	86-650000-659005
铁门关	86-650000-659006
双河	86-650000-659007
可克达拉	86-650000-659008
昆玉	86-650000-659009
台湾	886-710000
新北市	886-710000-710100
高雄市	886-710000-710200
台中市	886-710000-710300
台北市	886-710000-710400
桃园市	886-710000-710500
台南市	886-710000-710600
彰化县	886-710000-710700
屏东县	886-710000-710800
云林县	886-710000-710900
苗栗县	886-710000-711000
新竹县	886-710000-711100
嘉义县	886-710000-711200
南投县	886-710000-711300
宜兰县	886-710000-711400
新竹市	886-710000-711500
基隆市	886-710000-711600
花莲县	886-710000-711700
嘉义市	886-710000-711800
台东县	886-710000-711900
金门县	886-710000-712000
澎湖县	886-710000-712100
连江县	886-710000-712200
香港	852-810000
香港岛	852-810000-810100
九龙	852-810000-810200
新界	852-810000-810300
澳门	853-820000
澳门半岛	853-820000-820100
氹仔岛	853-820000-820200
路环岛	853-820000-820300
非堂区	853-820000-820400
北京	86-110000-110000
天津	86-120000-120000
上海	86-310000-310000
重庆	86-500000-500000
